Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
357,Reggie Jackson,34,PHI,PG,31,1,384,4.9,12.5,0.391,2.3,6.9,0.338,2.5,5.5,0.458,0.485,0.7,0.8,0.778,0.7,3.2,3.9,4.2,1.5,0.3,1.6,3.2,12.7,NA
358,David Roddy,23,2TM,PF,30,3,375,5,10.8,0.464,1.7,5.2,0.333,3.3,5.6,0.586,0.545,1.7,2.1,0.818,1.2,6.3,7.6,3.2,1.3,0.8,2,1.8,13.4,NA
358,David Roddy,23,ATL,PF,27,3,346,4.6,9.7,0.473,1.7,4.5,0.372,2.9,5.2,0.56,0.559,1.9,2.3,0.818,1.1,6.1,7.3,3.1,1.2,0.8,2.1,1.9,12.7,NA
358,David Roddy,23,PHI,PF,3,0,29,9.9,23.6,0.421,2.5,13.7,0.182,7.4,9.9,0.75,0.474,0,0,NA,2.5,8.7,11.2,3.7,2.5,0,1.2,1.2,22.3,NA
359,Trevelin Queen,27,ORL,SG,26,2,373,4.2,12,0.355,1.5,6.3,0.246,2.7,5.7,0.475,0.419,1.3,1.4,0.867,1.9,2.1,4.1,3.2,2.4,1,1.9,3.5,11.3,NA
360,Jaylon Tyson,22,CLE,SG,39,2,363,4.7,10,0.465,1.4,3.9,0.359,3.3,6.1,0.532,0.535,1.4,1.8,0.778,3,4.9,7.8,3.7,0.9,0.2,1.9,4.3,12.1,NA
361,Charles Bassey,24,SAS,C,34,1,363,6.7,11.5,0.586,0,0,NA,6.7,11.5,0.586,0.586,2.1,3.3,0.636,5.6,9.4,15,1.7,1.4,2.9,2.3,4.7,15.6,NA
362,Ousmane Dieng,21,OKC,C,32,0,358,4.7,11.4,0.416,1.9,6.5,0.292,2.8,4.8,0.583,0.5,1.1,1.6,0.688,1.6,5.7,7.3,2.9,1.5,0.7,1.5,2.9,12.5,NA
363,Bol Bol,25,PHO,PF,26,7,356,7.9,15,0.527,2.6,7.7,0.342,5.3,7.3,0.722,0.615,1.8,2.4,0.75,1.5,7.3,8.8,1.6,0.5,2.3,1.6,1.5,20.2,NA
364,Mo Bamba,26,LAC,C,28,2,352,4.9,10.5,0.466,1.5,5.1,0.3,3.4,5.4,0.623,0.539,1.7,2.6,0.68,2.7,9.6,12.3,1.6,0.9,2.9,1.9,5,13.1,NA
365,Robert Williams,27,POR,C,20,3,351,5.1,8,0.641,0.1,0.3,0.333,5,7.7,0.653,0.647,1.5,1.7,0.882,3.6,8.5,12.1,2.2,1.3,3.4,1.7,3.2,11.9,NA
366,Craig Porter Jr.,24,CLE,PG,39,0,349,4.8,8.8,0.553,1.4,3.1,0.467,3.4,5.7,0.6,0.635,1,1.3,0.769,1,3.5,4.5,5.5,1.3,1.2,2.4,1.7,12.2,NA
367,Orlando Robinson,24,2TM,C,27,2,348,4.4,10.2,0.434,0.4,2.1,0.2,4,8.2,0.494,0.455,2.6,3.3,0.781,3.7,5.8,9.5,3.4,1,0.7,2.5,4.4,11.9,NA
